ANGLESEY,,ANGLESEY,Y
AVON,,AVON,Y
BEDFORD,BEDFORDSHIRE,BEDFORD,Y
BEDFORDSHIRE,,BEDFORD,Y
BEDS,BEDFORDSHIRE,BEDFORD,Y
BERKS,BERKSHIRE,BERK,Y
BERKSHIRE,,BERK,Y
BRECKNOCK,BRECKNOCKSHIRE,BRECKNOCK,Y
BRECKNOCKSHIRE,,BRECKNOCK,Y
BRECON,BRECKNOCKSHIRE,BRECKNOCK,Y
BRECONSHIRE,BRECKNOCKSHIRE,BRECKNOCK,Y
BUCKINGHAM,BUCKINGHAMSHIRE,BUCKINGHA,Y
BUCKINGHAMSHIRE,,BUCKINGHA,Y
BUCKS,BUCKINGHAMSHIRE,BUCKINGHA,Y
CAERNARFON,CARNARVONSHIRE,CAERNARVO,Y
CAERNARFONSHIRE,,CAERNARVO,Y
CAERNARVON,CARNARVONSHIRE,CAERNARVO,Y
CAERNARVONSHIRE,CARNARVONSHIRE,CAERNARVO,Y
CAERNS,CARNARVONSHIRE,CAERNARVO,Y
CARNARVON,CARNARVONSHIRE,CAERNARVO,Y
CARNARVONSHIRE,,CAERNARVO,Y
LONDON COUNTY,,CAERNARVO,Y
CAMBRIDGE,CAMBRIDGESHIRE,CAMBRIDGE,Y
CAMBRIDGE AND ISLE OF ELY,CAMBRIDGESHIRE,CAMBRIDGE,Y
CAMBRIDGESHIRE,,CAMBRIDGE,Y
CAMBRIDGESHIRE & ISLE OF ELY,CAMBRIDGESHIRE,CAMBRIDGE,Y
CAMBRIDGESHIRE AND ISLE OF ELY,CAMBRIDGESHIRE,CAMBRIDGE,Y
CAMBS,CAMBRIDGESHIRE,CAMBRIDGE,Y
CAERDYDD,CARDIFF,CARDIFF,Y
CARDIFF,,CARDIFF,Y
CARDIGAN,CARDIGANSHIRE,CARDIGAN,Y
CARDIGANSHIRE,,CARDIGAN,Y
CARMARTHEN,CARMARTHENSHIRE,CARMARTHE,Y
CARMARTHENSHIRE,,CARMARTHE,Y
CARMS,CARMARTHENSHIRE,CARMARTHE,Y
GAERFYRDDIN,CARMARTHENSHIRE,CARMARTHE,Y
SIR GAERFYRDDIN,CARMARTHENSHIRE,CARMARTHE,Y
CEREDIGION,,CEREDIGIO,Y
SIR CEREDIGION,CEREDIGION,CEREDIGIO,Y
CHESHIRE,,CHE,Y
CHESTER,CHESHIRE,CHE,Y
CLEVELAND,,CLEVELAND,Y
CLWYD,,CLWYD,Y
CONWY,,CONWY,
CORNWALL,,CORNWALL,
CUMBERLAND,,CUMBERLAN,Y
CUMBRIA,,CUMBRIA,Y
DDINBYCH,DENBIGHSHIRE,DENBIGH,Y
DENBIGH,DENBIGHSHIRE,DENBIGH,Y
DENBIGHSHIRE,,DENBIGH,Y
SIR DDINBYCH,DENBIGHSHIRE,DENBIGH,Y
DERBYS,DERBYSHIRE,DERBY,Y
DERBYSHIRE,,DERBY,Y
DEVON,,DEVON,Y
DEVONSHIRE,DEVON,DEVON,Y
DORSET,,DORSET,Y
DORSETSHIRE,DORSET,DORSET,Y
CO DURHAM,COUNTY DURHAM,DURHAM,Y
COUNTY DURHAM,,DURHAM,Y
DURHAM,COUNTY DURHAM,DURHAM,Y
DYFED,,DYFED,Y
E RIDING,,EASTRIDIN,Y
EAST RIDING,,EASTRIDIN,Y
E SUFFOLK,,EASTSUFFO,Y
EAST SUFFOLK,,EASTSUFFO,Y
E SUSSEX,EAST SUSSEX,EASTSUSSE,Y
EAST SUSSEX,,EASTSUSSE,Y
ESSEX,,ESSEX,Y
FFLINT,FLINTSHIRE,FLINT,Y
FLINT,FLINTSHIRE,FLINT,Y
FLINTS,FLINTSHIRE,FLINT,Y
FLINTSHIRE,,FLINT,Y
GLAM,GLAMORGANSHIRE,GLAMORGAN,Y
GLAMORGAN,GLAMORGANSHIRE,GLAMORGAN,Y
GLAMORGANSHIRE,,GLAMORGAN,Y
GLOS,GLOUCESTERSHIRE,GLOUCESTE,Y
GLOUCESTER,GLOUCESTERSHIRE,GLOUCESTE,Y
GLOUCESTERSHIRE,,GLOUCESTE,Y
GLOUCS,GLOUCESTERSHIRE,GLOUCESTE,Y
G LONDON,GREATER LONDON,GREATERLO,Y
GREATER LONDON,,GREATERLO,Y
GT LONDON,GREATER LONDON,GREATERLO,Y
GTR LONDON,GREATER LONDON,GREATERLO,Y
LONDON,GREATER LONDON,GREATERLO,Y
G MANCHESTER,GREATER MANCHESTER,GREATERMA,Y
GREATER MANCHESTER,,GREATERMA,Y
GT MANCHESTER,GREATER MANCHESTER,GREATERMA,Y
GTR MANCHESTER,GREATER MANCHESTER,GREATERMA,Y
GWENT,,GWENT,Y
GWYNEDD,,GWYNEDD,Y
SIR GWYNEDD,GWYNEDD,GWYNEDD,Y
HAMPSHIRE,,HAMP,Y
HANTS,HAMPSHIRE,HAMP,Y
SOUTHAMPTON,,HAMP,Y
HEREFORD,HEREFORDSHIRE,HEREFORD,Y
HEREFORDSHIRE,,HEREFORD,Y
HEREFORD & WORCESTER,HEREFORD AND WORCESTER,HEREFORDW,Y
HEREFORD & WORCS,HEREFORD AND WORCESTER,HEREFORDW,Y
HEREFORD AND WORCESTER,,HEREFORDW,Y
HEREFORD AND WORCS,HEREFORD AND WORCESTER,HEREFORDW,Y
HERTFORD,HERTFORDSHIRE,HERTFORD,Y
HERTFORDSHIRE,,HERTFORD,Y
HERTS,HERTFORDSHIRE,HERTFORD,Y
HOLLAND,,HOLLAND,Y
HUMBERSIDE,,HUMBERSID,Y
HUNTINGDON,HUNTINGDONSHIRE AND PETERBOROUGH,HUNTINGDO,Y
HUNTINGDON & PETERBOROUGH,HUNTINGDONSHIRE AND PETERBOROUGH,HUNTINGDO,Y
